,recall,precision
0,1.0,0.06042296072507553
1,0.99,0.05985489721886336
2,0.99,0.05989110707803993
3,0.98,0.059322033898305086
4,0.98,0.059357964869775896
5,0.98,0.059393939393939395
6,0.98,0.05942995755003032
7,0.98,0.05946601941747573
8,0.98,0.05950212507589557
9,0.98,0.05953827460510328
10,0.98,0.059574468085106386
11,0.98,0.05961070559610705
12,0.98,0.05964698721850274
13,0.98,0.05968331303288672
14,0.97,0.0591102985984156
15,0.97,0.05914634146341463
16,0.97,0.059218559218559216
17,0.97,0.05925473427000611
18,0.97,0.059290953545232276
19,0.97,0.05932721712538226
20,0.97,0.05936352509179926
21,0.97,0.05939987752602572
22,0.97,0.05943627450980392
23,0.97,0.05947271612507664
24,0.97,0.05950920245398773
25,0.97,0.05954573357888275
26,0.96,0.05896805896805897
27,0.96,0.05900430239704978
28,0.96,0.05904059040590406
29,0.96,0.059076923076923075
30,0.96,0.059113300492610835
31,0.96,0.059149722735674676
32,0.96,0.059186189889025895
33,0.96,0.05922270203578038
34,0.96,0.05925925925925926
35,0.96,0.0592958616429895
36,0.96,0.059332509270704575
37,0.96,0.059369202226345084
38,0.96,0.0594059405940594
39,0.96,0.05944272445820433
40,0.96,0.05947955390334572
41,0.96,0.059516429014259145
42,0.96,0.05955334987593052
43,0.96,0.0595903165735568
44,0.96,0.05962732919254658
45,0.96,0.05966438781852082
46,0.96,0.05970149253731343
47,0.96,0.059738643434972
48,0.96,0.05977584059775841
49,0.96,0.059813084112149535
50,0.96,0.059850374064837904
51,0.96,0.05988771054273238
52,0.96,0.0599250936329588
53,0.96,0.059962523422860715
54,0.96,0.06
55,0.96,0.0600375234521576
56,0.96,0.060075093867334166
57,0.96,0.06015037593984962
58,0.96,0.06018808777429467
59,0.96,0.060225846925972396
60,0.96,0.060263653483992465
61,0.96,0.06030150753768844
62,0.96,0.06033940917661848
63,0.96,0.06037735849056604
64,0.95,0.059786028949024544
65,0.95,0.05982367758186398
66,0.95,0.05986137366099559
67,0.95,0.05989911727616646
68,0.95,0.05993690851735016
69,0.95,0.05997474747474747
70,0.95,0.06001263423878711
71,0.95,0.06005056890012642
72,0.95,0.06008855154965212
73,0.95,0.060126582278481014
74,0.95,0.06016466117796074
75,0.95,0.060202788339670466
76,0.95,0.060240963855421686
77,0.95,0.060279187817258884
78,0.95,0.06031746031746032
79,0.95,0.06035578144853875
80,0.95,0.06039415130324221
81,0.95,0.06047103755569701
82,0.95,0.06050955414012739
83,0.95,0.06054811982154239
84,0.95,0.06058673469387755
85,0.95,0.06062539885130823
86,0.95,0.06066411238825032
87,0.95,0.06070287539936102
88,0.95,0.06074168797953964
89,0.95,0.060780550223928344
90,0.95,0.06081946222791293
91,0.95,0.060858424087123636
92,0.95,0.060897435897435896
93,0.95,0.06093649775497113
94,0.95,0.06097560975609756
95,0.95,0.06101477199743096
