,recall,precision
0,1.0,0.06071645415907711
1,0.995,0.060431217734588524
2,0.995,0.060449574726609966
3,0.995,0.06046794287450623
4,0.995,0.06048632218844985
5,0.995,0.06050471267862572
6,0.995,0.060523114355231146
7,0.995,0.06054152722847581
8,0.995,0.06055995130858186
9,0.995,0.060578386605783865
10,0.995,0.06059683313032887
11,0.995,0.060615290892476394
12,0.995,0.060633759902498474
13,0.995,0.06065224017067967
14,0.995,0.06067073170731707
15,0.995,0.06068923452272034
16,0.995,0.06070774862721171
17,0.995,0.06072627403112603
18,0.995,0.060744810744810744
19,0.995,0.06076335877862595
20,0.995,0.06080048884815154
21,0.995,0.06081907090464548
22,0.995,0.060837664322837055
23,0.995,0.06085626911314985
24,0.995,0.06087488528602019
25,0.995,0.06089351285189718
26,0.995,0.06091215182124273
27,0.995,0.06093080220453154
28,0.995,0.060949464012251146
29,0.995,0.06096813725490196
30,0.995,0.06098682194299724
31,0.995,0.06100551808706315
32,0.995,0.06102422569763876
33,0.995,0.061042944785276075
34,0.995,0.061061675360540045
35,0.995,0.06108041743400859
36,0.995,0.061099171016272644
37,0.995,0.06111793611793612
38,0.995,0.061136712749615976
39,0.995,0.061155500921942225
40,0.995,0.06117430064555795
41,0.995,0.06119311193111931
42,0.99,0.060904337127037834
43,0.99,0.06092307692307692
44,0.99,0.060941828254847646
45,0.99,0.06096059113300493
46,0.99,0.060979365568216815
47,0.99,0.06099815157116451
48,0.99,0.061016949152542375
49,0.99,0.06103575832305795
50,0.99,0.06105457909343201
51,0.99,0.06107341147439852
52,0.99,0.06109225547670472
53,0.99,0.06111111111111111
54,0.99,0.06112997838839148
55,0.99,0.061167747914735865
56,0.99,0.06118665018541409
57,0.99,0.061205564142194746
58,0.99,0.061224489795918366
59,0.99,0.06124342715743891
60,0.99,0.06126237623762376
61,0.99,0.06128133704735376
62,0.99,0.06130030959752322
63,0.99,0.06131929389903995
64,0.99,0.06133828996282528
65,0.99,0.06135729779981407
66,0.99,0.06137631742095474
67,0.99,0.061395348837209304
68,0.99,0.06141439205955335
69,0.99,0.06143344709897611
70,0.99,0.061452513966480445
71,0.99,0.061471592673082893
72,0.99,0.061490683229813665
73,0.99,0.06150978564771668
74,0.99,0.061528899937849595
75,0.99,0.06154802611128381
76,0.99,0.061567164179104475
77,0.99,0.06158631415241057
78,0.99,0.06160547604231487
79,0.99,0.06162464985994398
80,0.99,0.06166303332295235
81,0.99,0.0616822429906542
82,0.99,0.06170146463072608
83,0.99,0.06172069825436409
84,0.99,0.0617399438727783
85,0.99,0.061759201497192766
86,0.99,0.061778471138845555
87,0.99,0.06179775280898876
88,0.99,0.061817046518888544
89,0.99,0.06183635227982511
90,0.99,0.061855670103092786
91,0.99,0.061875
92,0.99,0.061894341981869334
93,0.99,0.06191369606003752
94,0.99,0.06193306224585549
95,0.99,0.06195244055068836
96,0.99,0.061971830985915494
97,0.99,0.061991233562930494
98,0.99,0.06201064829314125
99,0.99,0.06203007518796992
100,0.99,0.06204951425885302
101,0.99,0.06206896551724138
102,0.99,0.062088428974600186
103,0.99,0.062107904642409034
104,0.99,0.06212739253216191
105,0.99,0.062146892655367235
106,0.99,0.06216640502354788
107,0.99,0.062185929648241205
108,0.99,0.06222501571338781
109,0.99,0.06224457717698837
110,0.99,0.062264150943396226
111,0.99,0.06228373702422145
112,0.99,0.06232294617563739
113,0.99,0.06234256926952141
114,0.99,0.06236220472440945
115,0.99,0.062381852551984876
